Seq,Province,Number of rooms per person  ,Toilet presence percentage in dwellings,Percentage of house holds having problems with quality of dwellings,Employment rate,Unemployment rate,Average daily earnings,Job satisfaction rate,Savings deposit per capita,Percentage of house holds in middle or higher income groups,Percentage of house holds declaring to fail on meeting basic needs,Infant mortality rate,Life expectancy at birth,Number of applications per doctor ,Satisfication rate with health status,Satisfication rate with public health services,Net schooling ratio of pre-primary education between the ages of 3and5,Average point of placement basic scores of the system for Transition to Secondary Education from Basic Education,Average points of the Transition to Higher Education Examination,Percentage of higher education graduates,Satisfaction rate with public education services,Average of PM10 values of the stations (airpollution),Forest area per km2,Percentage of population receiving waste services,Percentage of households having noise problems from the streets,Satisfaction rate with municipal cleaning services,Murder rate (per million people),Number of traffic accidents involving death or injury (per thousand people),Percentage of people feeling safe when walking alone at night,Satisfication rate with public safety services,Voter turnout at local administrations,Rate of membership to political parties,Percentage of persons interested in union/association activities,Number of internet subscriptions (per hundred persons) ,Access rate of population to sewerage and pipesystem,Access rate to airport,Satisfaction rate with municipal public transport services,Number of cinema and theatre audience (per hundred persons),Shopping mall area per thousand people,Satisfication rate with social relations,Satisfication rate with social life,Level of happiness,Hopeful,Life Satisfaction Index,Life Expectancy Total,Life Expectancy Male,Life Expectancy Female
1,Adana,1.22,86.34,22.73,43.3,13.2,59.06489071,73.32,5427.724944,34.06,59.77,13.18144013,77.39334711,5323.229963,68.47,72.47,28.42110996,281.8823,200.4602995,14.21352514,63.85,44.75,42.09426466,97.93920378,25.53,59.64,42.94431784,2.26219584,53.11,76.61,88.1,20.61238337,7.6,9.737647159,91.50000346,7449.761905,56.34,73.09044397,82.44524022,81.9,46.74,53,70.38,0.308856502,77.39334711,74.53896573,80.23682113
2,Adiyaman,0.93,77.07,41.12,39.2,9.1,53.24281389,64.26,1542.666455,16.27,74.77,12.06148415,79.54820398,7437.146774,69.13,74.62,29.97829354,289.2975,197.0775538,12.28869049,69.01,71,25.23429194,65.94184516,19.39,36.68,18.39972568,1.76302826,73.59,82.75,87.2,22.28865366,6.98,3.714904614,67.71592496,74.32692308,36.72,2.903811252,0,81.82,56.88,65.01,76.57,0.645459641,79.54820398,76.56770349,82.49488026
3,Afyonkarahisar,1.36,90.2,12.9475,51.1,5.6,53.91157275,85.34,4062.055209,29.73,44.08,9.572374307,76.99211759,5727.391389,80.07,87.33,31.8043159,295.5051,195.4769668,10.78079479,88.89,81,17.00071347,73.07243219,6.48,77.61,29.72941981,2.815800762,87.23,91.15,92,19.95792106,5.71,7.035254845,71.86775788,11.96943973,74.24,34.91762827,119.9086599,94.04,70.29,76.43,82.97,0.965526906,76.99211759,74.62706791,79.35049314
4,Agri,0.84,64.06,40.475,53.2,6.8,56.10803549,63.97,842.0468299,22.56,73.54,14.43298969,75.62829517,6719.994012,66.2,63.31,25.43312155,233.6633,189.906445,8.618257809,65.27,47,0.532029913,56.18963117,12.92,35.94,29.12082412,1.301336828,57.88,76.91,77.1,18.63778272,6.36,2.163495227,50.36373729,167.0238095,48.54,6.321948911,0,90.04,46.16,60.09,73.49,0.507567265,75.62829517,73.69455812,77.50720013
5,Aksaray,1.32,81.01,19.7125,47.2,5.8,55.65699002,85.71,5611.986405,32.97,48.54,11.56661786,78.19030599,7447.743073,72.78,81.6,30.94154501,296.9616,199.5314257,10.05688805,81.09,61,1.693171432,75.97236969,16.81,56.17,13.01229402,3.234856292,62.24,89.56,87.3,18.82033134,4.19,7.197620312,70.82890915,26.85576923,39.27,20.96618886,57.50913463,91.66,63.05,67.84,82.02,0.724775785,78.19030599,75.49143221,80.80190005
6,Amasya,1.4,95.03,16.855,47.4,6.6,53.77364817,88.73,3120.979892,34.79,43.75,15.38461538,77.76714139,8067.414698,74.16,86.51,47.13294911,317.3954,195.5414082,13.43080158,87.53,29,39.17377399,69.98940708,12.83,74.43,21.74500564,3.081577942,67.49,92.29,91.2,22.10147467,5.42,8.610090304,68.99053471,21.74442191,73.36,19.25520249,0,92.76,62.71,66.02,81.54,0.673766816,77.76714139,74.95875649,80.64137546
7,Ankara,1.57,98.68,15.8425,44.5,10.2,70.14221779,78.86,11461.9481,58.91,42.38,6.958850871,79.37351654,2763.261636,71.76,68.11,35.3380284,317.5765,187.0742455,22.65267959,57.97,63.375,15.50319913,99.40035401,26.98,73.87,19.22303222,2.280550641,51.06,71.55,90.9,18.83920983,8.15,17.66355888,97.49999612,2750.615942,62.19,125.9072106,284.0053498,81.05,51.25,56.23,75.5,0.399383408,79.37351654,76.74434311,81.89268087
8,Antalya,1.38,96.65,14.855,52.9,7.9,59.50882125,78.62,8352.924238,45.53,48.66,8.913018232,79.22075264,4392.388216,68.45,68.74,41.69565685,319.1132,204.3425248,16.12344677,62.24,53,55.82653516,98.71509096,28.65,73.01,27.89573474,3.21340867,52.54,75.97,89.8,17.50712156,6.75,14.3453366,89.0000144,3091.608102,54.2,85.78199393,148.1393995,78.23,50.45,49.79,71.2,0.218890135,79.22075264,76.62472241,81.97421082
9,Ardahan,0.99,50.31,44.725,59.1,5.8,54.06447158,70.19,2127.835808,18.23,71.17,11.10425663,76.57267686,5043.516393,64.6,72.38,35.78700078,270.097,178.6017868,10.49343964,72.76,33,6.232873936,35.70593895,8.15,39.67,29.75924769,2.281542323,69.04,84.12,84.3,21.78754476,7.93,5.750478628,31.10882957,28.99676375,46.01,6.656151732,0,90.4,43.37,60.71,75.02,0.524943946,76.57267686,73.52763838,79.92487072
10,Artvin,1.62,94.24,19.6775,47.1,7.1,66.47994277,84.92,3736.530052,37.72,39.96,7.759456838,79.28026387,6300.7343,80.05,80.13,43.45658496,306.1754,188.084628,14.26577216,83.15,21,54.23319356,60.83489515,15.18,74.8,17.68096467,2.162971345,81.63,94.86,87.7,25.24265224,12.32,9.938470243,56.80245648,0,65.34,34.40892535,32.4151019,94.17,62.13,62.72,83.71,0.581278027,79.28026387,76.00028589,82.73732506
11,Aydin,1.45,78.59,17.9825,51.4,6.9,53.88807029,81.55,6738.809515,34.91,49.94,9.169562967,78.70216756,4953.537811,73.38,78.03,40.0098668,304.4116,202.502807,13.97641965,70.83,65,38.82836373,98.19216318,14.37,77.33,38.3884896,2.953994274,63.26,82.23,90.7,17.85470157,4.98,10.99523119,89.9999904,632.8362878,63.85,64.41991633,128.7377193,85.4,52.14,53.46,73.86,0.321748879,78.70216756,75.74863738,81.75604776
12,Balikesir,1.55,88.64,16.6825,44.4,6,56.02255502,86.94,6583.071291,29.66,45.03,7.10652304,77.60815084,6702.474425,75.44,83.01,37.30995966,316.1707,199.8566062,14.16362546,82.68,50,44.84337928,90.15307088,15.45,73.42,26.91208243,3.069659402,76.3,88.73,91.3,19.16005465,5.71,12.0787313,88.49996258,33.751864,74.07,58.47625471,69.77630172,90.52,74.95,70.73,85.95,0.805773543,77.60815084,74.79281648,80.56992674
13,Bartin,1.53,99.55,18.1,54.9,6.2,54.57163014,85.26,5818.061825,50.61,49.42,12.25382932,77.63596828,8010.771186,73.75,81.28,37.52462834,298.6059,194.5417802,10.74531863,78.59,56,47.30772532,46.16116259,14.75,77.17,15.839075,2.6609646,76.73,91.26,88.7,16.45252443,9.1,10.00554368,45.60888044,0.170454545,68.96,39.11195586,0,89.71,65.94,60.39,77.13,0.515975336,77.63596828,74.77982769,80.6138567
14,Batman,0.84,85.85,32.19,27.8,23.4,59.23294482,64.97,1594.431781,28.74,74.95,15.63345966,78.71291645,5691.4704,68.1,70.14,26.94591321,253.6579,196.8227602,12.28621132,66.28,90,15.43019879,78.1957252,20.06,47.14,16.14080521,1.122682674,48.57,70.9,84.5,20.11236028,4.34,3.700010581,74.41682374,168.5,49.63,30.86319233,35.86845602,90.32,35.71,52.27,73.97,0.288396861,78.71291645,75.36154702,81.86424092
15,Bayburt,1.21,96.93,20.3125,48.1,6.2,53.47756661,76.49,2097.187589,38.92,44.04,12.63823065,77.54213323,5311.190476,74.29,75.71,29.1147541,307.8398,201.9849988,12.77651396,72.93,53,3.834223171,61.77999429,8.73,48.41,12.40587046,3.299961542,85.95,82.59,86.9,18.09719182,8.24,7.050256181,61.13550932,0,52.15,3.907849194,0,91.67,46.73,75.91,85.5,0.950952915,77.54213323,74.43042292,80.84432433
